Frame (60^-1s),Volume (cm^-3)
738,1552.062
739,1558.035
740,1557.451
741,1522.379
742,1517.521
743,1509.349
744,1572.714
745,1568.676
746,1531.239
747,1460.301
748,1449.555
749,1505.36
750,1490.205
751,1521.457
752,1483.735
753,1482.409
754,1574.735
755,1565.143
756,1552.18
757,1539.731
758,1531.432
759,1520.565
760,1516.797
761,1515.589
762,1517.393
763,1518.206
764,1419.352
765,1411.785
766,1497.925
767,1456.249
768,1446.964
769,1415.139
770,1410.878
771,1448.088
772,1450.072
773,1447.649
774,1408.753
775,1407.246
776,1406.627
777,1382.975
778,1391.667
779,1395.382
780,1399.43
781,1400.224
782,1403.613
783,1405.17
784,1434.528
785,1414.874
786,1396.401
787,1408.28
788,1415.927
789,1360.544
790,1366.94
791,1375.403
792,1378.008
793,1418.759
794,1413.469
795,1408.932
796,1405.492
797,1401.217
798,1396.99
799,1397.169
800,1364.261
801,1365.937
802,1361.135
803,1413.059
804,1404.482
805,1391.638
806,1349.013
807,1345.001
808,1429.307
809,1424.146
810,1416.813
811,1413.74
812,1409.519
813,1408.286
814,1372.549
815,1371.506
816,1362.412
817,1343.473
818,1387.457
819,1374.279
820,1366.617
821,1363.683
822,1361.176
823,1358.466
824,1356.325
825,1310.887
826,1307.669
827,1307.767
828,1306.523
829,1303.103
830,1303.617
831,1303.131
832,1301.991
833,1333.159
834,1299.801
835,1328.283
836,1298.807
837,1298.598
838,1298.693
839,1301.263
840,1301.522
841,1300.637
842,1324.898
843,1349.748
844,1347.027
845,1344.724
846,1344.474
847,1340.174
848,1333.154
849,1291.762
850,1282.885
851,1309.915
852,1278.695
853,1310.687
854,1321.753
855,1323.27
856,1324.073
857,1317.301
858,1341.309
859,1304.186
860,1335.58
861,1334.095
862,1333.427
863,1335.285
864,1335.998
865,1302.508
866,1296.318
867,1323.322
868,1282.239
869,1277.55
870,1276.77
871,1280.498
872,1278.889
873,1281.397
874,1280.448
875,1275.445
876,1247.454
877,1246.246
878,1249.891
879,1250.356
880,1250.245
881,1245.155
882,1238.622
883,1237.526
884,1233.838
885,1231.507
886,1230.702
887,1223.114
888,1211.812
889,1209.834
890,1207.149
891,1202.862
892,1229.791
893,1257.606
894,1249.287
895,1238.161
896,1166.42
897,1157.546
898,1205.441
899,1232.047
